EID2,GMPD2,Database_agreement,systematic_searchOksanen,Reviewer_Abstract,Include_Abstract,Reviewer_FullText,Include_from_fulltext,DataExtracted,inline_citation,CITATION_ID,TITLE,YEAR,JOURNAL,VOLUME,ISSUE,PAGES,PAGES_start,PAGES_end,page_count,DOI,PMID,Publication_type,open_access,access_method,time_to_access_days,ABSTRACT,FULLTEXT.,Language,exclusion_abstract,exclusion_fulltext,exclusion_data,SDM_ids_dataset_only,SDM_ids_train,SDM_ids_test,authors,Notes,id_method
yes,no,1,no,ARW; KA,yes,ARW,yes,yes,no,Gesy et al. 2013a,Establishment of a European-type strain of Echinococcus multilocularis in Canadian wildlife,2013,Parasitology,140,9,1133-7,1133,1137,5,10.1017/S0031182013000607,23714582,article,no,UGA Library,,"In 2009, a haplotype closely related to European strains of Echinococcus multilocularis was detected in a dog from the Quesnel region of British Columbia, Canada. We now report the establishment of this same haplotype in 7 coyotes (Canis latrans) trapped within 40 km of Quesnel, BC. In addition, 3 coyotes and 1 red fox (Vulpes vulpes) harboured adult cestodes morphologically compatible with that of E. multilocularis (overall prevalence 33% in 33 carnivores). None of 156 potential intermediate hosts, including 131 representatives of two highly suitable rodent species, Peromyscus maniculatus and Microtus pennsylvanicus, trapped from a region 120-210 km south of Quesnel were infected. This report confirms the establishment and local transmission of a European-type strain of E. multilocularis (the causative agent of human alveolar hydatid disease), in wildlife in a forested region of North America where this cestode had not been previously detected, with significance for public and animal health.",Yes,English,,,non standard location,"EID_011, EID_012",,,NA,,Snowballing
yes,no,1,no,ARW; KA,yes,ARW,yes,yes,no,Schurer et al. 2014,Echinococcus Multilocularis And Echinococcus Canadensis In Wolves From Western Canada.,2014,Parasitology,141,2,159-63,159,163,5,10.1017/S0031182013001716,24135428,article,no,UGA Library,,"Echinococcus species are important parasites of wildlife, domestic animals and people worldwide; however, little is known about the prevalence, intensity and genetic diversity of Echinococcus tapeworms in Canadian wildlife. Echinococcus tapeworms were harvested from the intestines of 42% of 93 wolves (Canis lupus) from five sampling regions in the Northwest Territories, Manitoba and Saskatchewan, and visually identified to genus level by microscopic examination. Genetic characterization was successful for tapeworms from 30 wolves, and identified both Echinococcus canadensis and Echinococcus multilocularis in all sampling locations. Mixed infections of E. canadensis/E. multilocularis, as well as the G8/G10 genotypes of E. canadensis were observed. These findings suggest that wolves may be an important definitive host for both parasite species in western Canada. This represents the first report of wolves naturally infected with E. multilocularis in North America, and of wolves harbouring mixed infections with multiple species and genotypes of Echinococcus. These observations provide important information regarding the distribution and diversity of zoonotic species of Echinococcus in western North America, and may be of interest from public health and wildlife conservation perspectives.",Yes,English,,,location size,"EID_021, EID_020, EID_019, EID_016, EID_017, EID_018",,,NA,,Snowballing
no,no,0,yes,Daniel,TBD,,yes,Yes,,Henttonen et al. 2001,Echinococcus multilocularis on Svalbard: introduction of an intermediate host has enabled the local life-cycle,2001,Parasitology,123,Pt 6,547-552,547,552,6,10.1017/s0031182001008800,11814041,article,no,Norsk Polarinstitutt,0,The taeniid tapeworm Echinococcus multilocularis is here reported for the first time at the Svalbard Archipelago in the Norwegian Arctic. This new finding is interesting because the establishment of E. multilocularis is due to a recent anthropogenic introduction of its intermediate host--the sibling vole Microtus rossiaemeridionalis at Svalbard. The parasite itself has probably become naturally transferred to Svalbard due to migratory movements of its final host--the arctic fox Alopex lagopus between source areas for E. multilocularis in Siberia and Svalbard. We report macroscopically determined prevalence of E. multilocularis from a sample of 224 voles trapped in August in 1999 and 2000. The prevalence was among the highest ever recorded in intermediate hosts and was dependent on age and sex of the hosts approaching 100% in overwintered males. The high prevalence and the simplicity of the vole-arctic fox-E. multilocularis system at Svalbard makes it an eminent model system for further epidemiological studies.,Yes,English,,,,,,,NA,,SystematicSearch
yes,yes,2,no,not-needed,yes,RR,yes,yes,yes,Tsukada et al. 2000,"Preliminary Study Of The Role Of Red Foxes In Echinococcus Multilocularis Transmission In The Urban Area Of Sapporo, Japan.",2000,Parasitology,120,4,423-8,423,428,6,10.1017/s0031182099005582,10811284,article,no,UGA Library,,"In order to assess the infection risk of alveolar echinococcosis among urban residents of Sapporo, the capital of Hokkaido, Japan, a survey was conducted on fox distribution in the urban area and on the prevalence of Echinococcus multilocularis among the foxes. The fox distribution, evaluated from fox footprints left on the snow in parks and woodlands, and from locations of fox carcasses recorded by the Sapporo municipality, was concentrated along the border of the urban area and in the southwestern part of the city, facing the mountain. Fox faeces were collected around active fox dens, and analysed by a coproantigen detection assay and parasite egg examination for the Echinococcus infection. Thirty-three out of 155 faeces were coproantigen positive. Coproantigen-positive faeces were collected from 11 den sites (57.9% of total den sites), and all except 1 were located in the urban fringe. A high intensity of taeniid eggs (> 100 eggs per 0.5 g) containing faeces were also collected in the 3 sites of them. Although Echinococcus infection in rodents was not observed from the necropsy of 23 rodents captured around active fox dens, arvicolid rodents, a suitable intermediate host for E. multilocularis, were captured in the urban fringe. Therefore, the urban fringe offers suitable conditions in which the life-cycle of E. multilocularis could be maintained. Prompt measures to control echinococcus infection should be taken, even in urban areas.",Yes,English,,,,,GMPD_404,,NA,,Snowballing
yes,no,1,no,ARW; KA,yes,ARW,yes,yes,no,Avcioglu et al. 2017,First Detection Of Echinococcus Multilocularis In Rodent Intermediate Hosts In Turkey.,2017,Parasitology,144,13,1821-1827,1821,1827,7,10.1017/S0031182017001226,28799893,article,no,UGA Library,,"Echinococcus multilocularis is the causative agent of alveolar echinococcosis (AE), a potentially fatal zoonotic disease. Large parts of Turkey are considered as endemic for E. multilocularis. The aim of this study was to determine the occurrence of metacestode of E. multilocularis in wild rodents in Erzurum, an endemic region for human AE in Turkey. During the sampling period, a total of 498 rodents were trapped in twenty counties of Erzurum Province. Suspected lesions were observed on the livers of 48 rodents, and then partial fragment of mitochondrial 12S rRNA gene was PCR-amplified. Five liver samples exhibited E. multilocularis infection. The prevalence of E. multilocularis for Microtus spp. was 1‚Äò√∂3%. All of the infected rodents had fertile metacestodes. Infected rodents were morphologically and molecularly analysed and were confirmed to be Microtus irani by the mitochondrial cytochrome b gene sequence analysis. This is the first report of the presence of E. multilocularis in rodent intermediate hosts in Turkey. Our findings of infected M. irani with protoscoleces show that this rodent can act as suitable intermediate host for E. multilocularis' life cycle in Turkey. However, there was a complete lack of data on the infection of carnivores from the country. An extensive survey is recommended to determine the prevalence of E. multilocularis in definitive hosts in this endemic region.",Yes,English,,,location size,"EID_034, EID_035, EID_036",,,NA,,Snowballing
no,yes,1,no,not-needed,yes,RR,yes,yes,yes,Tang et al. 2004,"Study on the ecological distribution of alveolar echinococcus in Hulunbeier pasture of inner Mongolia, China.",2004,Parasitology,128,,187-194,187,194,8,10.1017/S0031182003004438,15030006,article,no,Author Link,0,"A study on the ecological distribution of alveolar Echinococcus was carried out in the Hulunbeier Pasture of Inner Mongolia, China during 1998 and 1999. Animals examined included wolves (Canis lupus), red foxes (Vulpes vulpes), sand foxes (Vulpes corsac), domestic dogs (Canis familiaris), Microtus brandti, Meriones unguiculatus, Citellus dauricus, Allactaga sibirica, Phodopus sungorus and Ochotona daurica. Three wolves were found to be infected with E. granulosus. Two sand foxes were infected with E. multilocularis. The majority of infections of alveolar echinococcus was found in M. brandti. Based on the structure of metacestodes found in the livers of naturally infected M. brandti, 3 main variants were observed. Type I had small alveolar cysts with thin cyst walls. Type II had a larger cyst with a thick cyst wall. Infection of laboratory mice with the gravid segments isolated from the naturally infected sand foxes led to the formation of mature Type I alveolar metacestodes in the lungs and Type II metacestodes in the livers of infected animals, respectively.",Yes,English,,,,,GMPD_016,,NA,identified but not included in pseudoabsence dataset,Snowballing
no,no,0,yes,Daniel,TBD,,yes,Yes,,Bruzinskaite-Schmidhalter et al. 2012,Helminths of red foxes (Vulpes vulpes) and raccoon dogs (Nyctereutes procyonoides) in Lithuania.,2012,Parasitology,139,1,120-127,120,127,8,10.1017/S0031182011001715,,article,no,rero.ch,0,"Accession Number: RN329613055; Publication Type: Periodical; Source: PARASITOLOGY -CAMBRIDGE-; Language: English; Publication Date: 20120101; Rights: Â© COPYRIGHT THE BRITISH LIBRARY BOARD AND OTHER CONTRIBUTORS. ALL RIGHTS RESERVED.; Imprint: Great Britain: CAMBRIDGE UNIVERSITY PRESS, 2012.",Yes,English,,,,,,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,yes,CT,yes,yes,no,Moss et al. 2013,"Reinfection Studies Of Canine Echinococcosis And Role Of Dogs In Transmission Of Echinococcus Multilocularis In Tibetan Communities, Sichuan, China.",2013,Parasitology,140,13,1685-92,1685,1692,8,10.1017/S0031182013001200,23985352,article,yes,publisher website,0,"In the eastern Tibetan plateau both human cystic and alveolar echinococcosis (AE) caused by infection with Echincoccus granulosus or Echinococcus multilocularis, respectively are highly endemic. The domestic dog plays a key role in zoonotic transmission in this region. Our primary objective was to investigate the role of domestic dogs in maintaining transmission of E. multilocularis in Shiqu county, Sichuan. A cohort of 281 dogs was followed up over one year after a single treatment with praziquantel followed by re-infection surveillance at 2, 5 and 12 months post-treatment. Faecal samples were tested by an Echinococcus genus-specific coproantigen ELISA and two species-specific copro-PCR tests. Total Echinococcus coproantigen prevalence in Shiqu at baseline was 21% and 9‚Äò√∂6% after 2 months. E. multilocularis copro-PCR was positive in 11‚Äò√∂2% of dogs before treatment (vs 3‚Äò√∂6% with E. granulosus copro-DNA), 2‚Äò√∂9% at 2 months post-treatment, and 0% at 5 month and 12 months. The results suggest that dogs may have the potential to maintain E. multilocularis transmission within local pastoral communities, and thus dog dosing could be an effective strategy to reduce transmission of E. multilocularis as well as E. granulosus in these co-endemic Tibetan communities.",Yes,English,,,location size,"EID_437, EID_438",,,NA,,Snowballing
yes,yes,2,no,not-needed,yes,RR,yes,yes,no,Nonaka et al. 1998,"Monitoring Of Echinococcus Multilocularis Infection In Red Foxes In Shiretoko, Japan, By Coproantigen Detection.",1998,Parasitology,117,2,193-200,193,200,8,10.1017/s0031182098002844,9778642,article,no,Author University,0,"The study was conducted to evaluate a mAb-based coproantigen detection assay for monitoring fox prevalence of Echinococcus multilocularis infections in the Shiretoko National Park in Hokkaido, Japan. Eight fox families, each consisting of 2‚Äì4 adults and their pups, were selected because their territories have been determined. Faeces of each family (total n¬Ø537) were collected monthly from April to October, 1994. Detection of coproantigen and taeniid eggs was recognized in 58 and 27 faeces, respectively, but mostly restricted in 1 family, in which coproantigen ELISA OD values had dual peaks, one in June and the other in October, whereas taeniid eggs were detected only from April to July. Fox pup faeces (n¬Ø51) collected around the dens used by the positive family were all coproantigen and taeniid egg negative except for 1 faeces. These results suggest that the prevalence and infection pressure in the study area were low and the infected family terminated the infection in the summer and acquired a new one in the early autumn, 1994. This monitoring method for fox infection will be a practical management tool for E. multilocularis infection, especially at the tourist spots in Hokkaido where close contact of fox with humans is frequently observed.",Yes,English,,,non standard location,"GMPD_349, GMPD_350",,,NA,,Snowballing
yes,no,1,yes,ARW; KA,yes,ARW,yes,yes,yes,Hofer et al. 2000,"High prevalence of Echinococcus multilocularis in urban red foxes (Vulpes vulpes) and voles (Arvicola terrestris) in the city of Zurich, Switzerland",2000,Parasitology,120,2,135-142,135,142,8,10.1017/s0031182099005351,10726275,article,no,https://swild.ch,0,"Over a period of 26 months from January 1996 to February 1998, 388 foxes from the city of Z√É¬ºrich, Switzerland, were examined for intestinal infections with Echinococcus multilocularis and other helminths. The prevalence of E. multilocularis in foxes sampled during winter increased significantly from 47% in the urban to 67% in the adjacent recreational area, whereas prevalence rates of other helminths were similar in both areas. Seasonal differences in the prevalence of E. multilocularis were only found in urban subadult male foxes which were significantly less frequently infected in summer than in winter. The distribution of the Echinococcus biomass, as expressed by worm numbers per fox was overdispersed in 133 infected foxes randomly sampled in winter. Ten of these foxes (8%) were infected with more than 10,000 specimens and carried 72% of the total biomass of E. multilocularis (398,653 worms). Prevalences did not differ significantly in these foxes in regard to age and sex but worm burdens were significantly higher in subadult foxes as compared with adult foxes. In voles (Arvicola terrestris) trapped in a city park of Z√É¬ºrich, E. multilocularis metacestodes were identified by morphological examination and by PCR. The prevalence was 20% among 60 rodents in 1997 and 9% among 75 rodents in 1998. Protoscoleces occurred in 2 of the cases from 1997. The possible risk for human infection is discussed with respect to the established urban E. multilocularis cycle.",Yes,English,,,,EID_063,EID_064,EID_065,NA,,SystematicSearch
yes,no,1,no,ARW; KA,yes,ARW,yes,yes,no,Yang et al. 2005,Molecular Study Of Echinococcus In West-Central China.,2005,Parasitology,131,Pt 4,547-55,547,555,9,10.1017/S0031182005007973,16174420,article,no,UGA Library,,"West-central China is an important endemic focus of both alveolar and cystic echinococcosis where several species of intermediate host are commonly infected with Echinococcus granulosus and E. multilocularis . Isolates of E. granulosus were collected from humans and other animals from different geographical areas of Qinghai, Ningxia, Gansu and Sichuan, and genotyped using the mitochondrial DNA marker ATP synthase subunit 6 gene (atp6). The sheep strain (G1 genotype) of E. granulosus was shown to be the only genotype present in sheep, cattle, goats, yaks and humans in the study areas. However, some heterogeneity in the atp6 sequence was evident in a number of the isolates with the most frequent change being a silent substitution (G/A) at position 360 compared with the G1 reference sequence representing isolates collected from the majority of hosts except humans. Two E. multilocularis isolates examined also had sequences that varied from each other and from the reference E. multilocularis atp6 sequence. The genotypic variation we report may reflect phenotypic differences with important consequences in terms of increased host infectivity for hosts by local Echinococcus strains, possibly impacting on the epidemiology and control of echinococcosis. Such adaptations may also result in different sensitivity to drugs or increased virulence for hosts that will impede control efforts and even affect vaccination strategies against Echinococcus.",Yes,English,,,location size,EID_001,,,NA,,Snowballing
yes,no,1,yes,ARW; KA,yes,CT,yes,yes,yes,Reperant et al. 2009,Rodents as shared indicators for zoonotic parasites of carnivores in urban environments.,2009,Parasitology,136,3,329-337,329,337,9,10.1017/S0031182008005428,19154652,article,no,rero.ch,0,"Rodents are shared intermediate or paratenic hosts for Echinococcus multilocularis, Toxocara spp. and Toxoplasma gondii, and may serve as valuable indicators for assessing the occurrence and the level of environmental contamination and infection pressure with free-living stages of these zoonotic parasites. We investigated 658 non-commensal rodents for parasite infections in the canton of Geneva, Switzerland. The prevalence of infection with E. multilocularis was highest in Arvicola terrestris captured in the north-western area (16.5%, CI: 10.1%-24.8%), possibly reflecting a higher red fox density due to the low incidence of sarcoptic mange in this part of the canton. The exposure rate to Toxocara spp. was highest in the urban area (13.2%, CI: 7.9%-20.3%), and may account for higher densities of domestic carnivore and red fox definitive hosts within the city. Exposure to T. gondii was widespread (5.0%, CI: 3.2-7.4%), indicating a ubiquitous distribution of infected cat definitive hosts. Interestingly, a widespread distribution of Taenia taeniaeformis, a parasite mainly transmitted by cats, was similarly evidenced in A. terrestris. Distinct spatial patterns for the different zoonotic parasites likely reflected differences in distribution, abundance, and habitat use of the respective definitive hosts. These results highlight the potential value of rodents as shared indicators for these pathogens.",Yes,English,,,,,"EID_224, EID_225, EID_226",,NA,,SystematicSearch
yes,yes,2,yes,not-needed,yes,RR,yes,yes,no,Stien et al. 2010,Intestinal parasites of the Arctic fox in relation to the abundance and distribution of intermediate hosts.,2010,Parasitology,137,1,149-157,149,157,9,10.1017/S0031182009990953,19723357,article,no,Author Link,0,"The intestinal parasite community of Arctic foxes (Vulpes lagopus) on the Svalbard archipelago in the High Arctic was investigated in relation to the abundance and distribution of intermediate hosts. Five species of cestodes (Echinococcus multilocularis, Taenia crassiceps, Taenia polyacantha, Taenia krabbei and Diphyllobothrium sp.), ascaridoid nematodes and one unidentified acanthocephalan species were found. The cestodes E. multilocularis, T. crassiceps and T. polyacantha all showed a decreasing prevalence in the fox population with increasing distance from their spatially restricted intermediate host population of sibling voles (Microtus levis). In addition, the prevalence of E. multilocularis in a sample from the vole population was directly related to the local vole abundance. The cestode T. krabbei uses reindeer as intermediate host, and its prevalence in female foxes was positively related to the density of reindeer (Rangifer tarandus platyrhyncus). Finally, the prevalence of the ascaridoid nematodes also decreased with increasing distance from the vole population, a finding that is consistent with the idea that voles are involved in transmission, most likely as paratenic hosts. The prevalence of the remaining species (Diphyllobothrium sp. and an unidentified acanthocephalan) was very low. We conclude that the distribution and abundance of intermediate host structure the gastrointestinal parasite community of the Arctic fox on the Svalbard archipelago.",Yes,English,,,non standard location,GMPD_022,,,NA,identified but not included in pseudoabsence dataset,SystematicSearch
no,no,0,yes,Daniel,TBD,,yes,Yes,,Guerra et al. 2014,Stability of the southern European border of Echinococcus multilocularis in the Alps: evidence that Microtus arvalis is a limiting factor,2014,Parasitology,,,10-Jan,1,10,9,10.1017/S0031182014000730,24932666,article,no,Author University,0,"The known range of the zoonotic fox tapeworm Echinococcus multilocularis has expanded since the 1990s, and today this parasite is recorded in higher abundances throughout large parts of Europe. This phenomenon is mostly attributed to the increasing European fox populations and their invasion of urban habitats. However, these factors alone are insufficient to explain the heterogeneous distribution of the parasite in Europe. Here, we analysed the spatial interrelationship of E. multilocularis with the known distribution of seven vole species in Ticino, southern Switzerland. Among 404 necropsied foxes (1990-2006) and 79 fox faecal samples (2010-2012), E. multilocularis was consistently found in the north of the investigated area. No expansion of this endemic focus was recorded during the 22 years of the study period. This stable endemic focus is coincident with the known distribution of the vole species Microtus arvalis but not, or only partly, with the distribution of the other autochthonous vole species. Our results give evidence that this vole species plays a crucial role in the maintenance of the parasite's life cycle and that its absence could be a limiting factor for the spread of E. multilocularis in this region.",Yes,English,,,,,,,NA,,SystematicSearch
yes,yes,2,yes,not-needed,yes,RR,yes,yes,yes,Stieger et al. 2002,Spatial and temporal aspects of urban transmission of Echinococcus multilocularis,2002,Parasitology,124,6,631-640,631,640,10,10.1017/s0031182002001749,12118719,article,no,http://www.swild.eu/,0,"High prevalences of Echinococcus multilocularis have been reported from foxes of the city of Zurich, Switzerland. In order to characterize transmission in urban areas, a coproantigen ELISA was evaluated for diagnosing the infection in fox faecal samples collected in the environment. In addition, trapped rodents were investigated for the presence of metacestodes. Faecal samples could reliably be classified as being of fox origin by assessing physical properties as shown by the different parasite spectra of putative fox and dog faecal specimens. From the total of 604 tested putative fox faecal samples 156 (25.8%) were positive in the ELISA with a distinct increase in the proportion of positive samples from the urban to the periurban zone. Furthermore, samples collected in the border zone had significantly more coproantigen-positive results during winter. Prevalence of E. multilocularis in rodents was 9.1% (81/889) for Arvicola terrestris (with 3.5% of the animals harbouring between 14 and 244400 protoscoleces) and 2.4% (2/83) for Clethrionomys glareolus. E. multilocularis-infected A. terrestris were found in 9 of 10 trapping sites in the border zone. The high infection pressure in the periphery of urban areas might pose a risk for infection with E. multilocularis for both domestic carnivores as well as for urban inhabitants. Interventions into the cycle aiming at reducing the infection pressure should therefore focus on these areas.",Yes,English,,,,,GMPD_395,GMPD_396,NA,identified but not included in pseudoabsence dataset,SystematicSearch
yes,no,1,no,ARW; KA,yes,KA,yes,yes,yes,Tsukada et al. 2002,"Potential Remedy Against Echinococcus Multilocularis In Wild Red Foxes Using Baits With Anthelmintic Distributed Around Fox Breeding Dens In Hokkaido, Japan.",2002,Parasitology,125,Pt 2,119-29,119,129,11,10.1017/s0031182002001968,12211605,article,no,Author Link,0,"The effect of bait-delivered anthelmintic to reduce the prevalence of Echinococcus multilocularis in wild red foxes was evaluated in Koshimizu, in the eastern part of Hokkaido, Japan. The study area (200 km2) was divided into baited and non-baited sections. The anthelmintic baits were distributed around fox den sites in the baited section every month for 13 months. After 1 year of the anthelmintic bait distribution, the prevalence of E. multilocularis in foxes, evaluated either by the parasite egg examination (from 27.1 to 5.6%) or coproantigen ELISA (from 59.6 to 29.7%), decreased in the baited section contrasting to that in the non-baited section (parasite egg: from 18.8 to 24.2%; ELISA: from 41.9 to 45.8%). The prevalence of E. multilocularis in grey red-backed vole Clethrionomys rufocanus, caught around fox dens, born after bait distribution also decreased and was significantly lower than that in non-baited section. However, within the study periods, the coproantigen-positive rate in fox faeces sporadically increased, while egg-positive rate constantly decreased. Since coproantigen ELISA can detect pre-patent infection, this observation indicates that reinfection pressure in the baited section was still high even after the 13 months of anthelmintic bait distribution. Therefore, the bait distribution longer than our study period is required for the efficient control of E. multilocularis in wild red fox population.",Yes,English,,,,,"EID_203, EID_204, EID_205",EID_202,NA,,Snowballing
yes,no,1,no,ARW; KA,yes,ARW,no,no,no,Giraudoux et al. 2003,Interactions Between Landscape Changes And Host Communities Can Regulate Echinococcus Multilocularis Transmission.,2003,Parasitology,127 Suppl,,S121-31,121,131,11,none,15027609,article,no,UGA Library,,"An area close to the Qinghai-Tibet plateau region and subject to intensive deforestation contains a large focus of human alveolar echinococcosis while sporadic human cases occur in the Doubs region of eastern France. The current review analyses and compares epidemiological and ecological results obtained in both regions. Analysis of rodent species assemblages within quantified rural landscapes in central China and eastern France shows a significant association between host species for the pathogenic helminth Echinococcus multilocularis, with prevalences of human alveolar echinococcosis and with land area under shrubland or grassland. This suggests that at the regional scale landscape can affect human disease distribution through interaction with small mammal communities and their population dynamics. Lidicker's ROMPA hypothesis helps to explain this association and provides a novel explanation of how landscape changes may result in increased risk of a rodent-borne zoonotic disease.",Yes,English,,no E. multi data,,,,,NA,review,Snowballing
no,no,0,yes,,,,,no,,"Knapp J,Bart JM,Maillard S,Gottstein B,Piarroux R",The genomic Echinococcus microsatellite EmsB sequences: from a molecular marker to the epidemiological tool,2010,Parasitology,137,3,439–49,439,449,11,10.1017/S0031182009991612,none,Journal Article,no,BORIS,0,"In the field of molecular and epidemiological parasitology, characterization of fast evolving genetic markers appears as animportant challenge to consider the diversity and genetic structure of parasites. The study of respective populations canhelp us to understand their adaptive strategies to survive and perpetuate the species within different host populations, alltrying to resist infection. In the past, the relative monomorphic features of Echinococcus multilocularis, the causative agent ofalveolar echinococcosis and a severe human parasitic disease, did not stimulate studies dealing with the genetic variability ofEchinococcus species or respective populations. A recently developed, characterized and validated original multilocusmicrosatellite, named EmsB, tandemly repeated in the genome, offered an additional opportunity for this line of investigation. We have compiled in this review new insights brought by this molecular tracker on the transmission activity ofEchinococcus among different hosts and at different geographical scales.",,English,,No epidemiological data,,,,,NA,,SystematicSearch
no,no,0,yes,,,,,no,,"Konyaev SV,Yanagida T,Nakao M,Ingovatova GM,Shoykhet YN,Bondarev AY,Odnokurtsev VA,Loskutova KS,Lukmanova GI,Dokuchaev NE,Spiridonov S,Alshinecky MV,Sivkova TN,Andreyanov ON,Abramov SA,Krivopalov AV,Karpenko SV,Lopatina NV,Dupal TA,Sako Y,Ito A",Genetic diversity of Echinococcus spp. in Russia,2013,Parasitology,140,13,1637–47,1637,1647,11,10.1017/S0031182013001340,none,Journal Article,no,Author Link,0,"In Russia, both alveolar and cystic echinococcoses are endemic. This study aimed to identify the aetiological agents of the diseases and to investigate the distribution of each Echinococcus species in Russia. A total of 75 Echinococcus specimens were collected from 14 host species from 2010 to 2012. Based on the mitochondrial DNA sequences, they were identified as Echinococcus granulosus sensu stricto (s.s.), E. canadensis and E. multilocularis. E. granulosus s.s. was confirmed in the European Russia and the Altai region. Three genotypes, G6, G8 and G10 of E. canadensis were detected in Yakutia. G6 was also found in the Altai region. Four genotypes of E. multilocularis were confirmed; the Asian genotype in the western Siberia and the European Russia, the Mongolian genotype in an island of Baikal Lake and the Altai Republic, the European genotype from a captive monkey in Moscow Zoo and the North American genotype in Yakutia. The present distributional record will become a basis of public health to control echinococcoses in Russia. The rich genetic diversity demonstrates the importance of Russia in investigating the evolutionary history of the genus Echinococcus.",,Italian,,No epidemiological data,,,,,NA,,SystematicSearch
yes,no,1,no,ARW; KA,yes,ARW,no,no,no,Giraudoux et al. 2013,Transmission Ecosystems Of Echinococcus Multilocularis In China And Central Asia.,2013,Parasitology,140,13,1655-66,1655,1666,12,10.1017/S0031182013000644,23734823,article,no,Author Link,0,"From continental to regional scales, the zoonosis alveolar echinococcosis (AE) (caused by Echinococcus multilocularis) forms discrete patches of endemicity within which transmission hotspots of much larger prevalence may occur. Since the late 80s, a number of hotspots have been identified in continental Asia, mostly in China, wherein the ecology of intermediate host communities has been described. This is the case in south Gansu, at the eastern border of the Tibetan plateau, in south Ningxia, in the western Tian Shan of Xinjiang, and in the Alay valley of south Kyrgyzstan. Here we present a comparative natural history and characteristics of transmission ecosystems or ecoscapes. On this basis, regional types of transmission and their ecological characteristics have been proposed in a general framework. Combining climatic, land cover and intermediate host species distribution data, we identified and mapped 4 spatially distinct types of transmission ecosystems typified by the presence of one of the following small mammal 'flagship' species: Ellobius tancrei, Ochotona curzoniae, Lasiopodomys brandtii or Eospalax fontanierii. Each transmission ecosystem had its own characteristics which can serve as a reference for further in-depth research in the transmission ecology of E. multilocularis. This approach may be used at fine spatial scales to characterize other poorly known transmission systems of the large Eurasian endemic zone, and help in consideration of surveillance systems and interventions.",Yes,English,,no E. multi data,,,,,NA,,Snowballing
yes,no,1,no,ARW; KA,yes,KA,yes,yes,no,Vaniscotte et al. 2011,Role Of Dog Behaviour And Environmental Fecal Contamination In Transmission Of Echinococcus Multilocularis In Tibetan Communities.,2011,Parasitology,138,10,1316-29,1316,1329,14,10.1017/S0031182011000874,21854704,article,no,Author Link,0,"On the Eastern Tibetan Plateau region (Sichuan province, China) dogs are regarded as important definitive hosts of Echinococcus multilocularis. We studied dog spatial behaviour in 4 Tibetan villages in order to determine the role of dogs in environmental contamination and their potential interactions with small mammal intermediate hosts. We identified definitive host species and Echinococcus spp. infection status of feces collected in the field by PCR methods and analysed the spatial distribution of canid feces. Nocturnal space utilization of GPS collared dogs in and around villages was also undertaken. E. multilocularis DNA was amplified in 23% of dog feces (n=142) and in 15% of fox feces (n=13) but this difference was not significant. However, dog feces were more frequently observed (78% of collected feces) than fox feces and are therefore assumed to largely contribute to human environment contamination. Feces were mainly distributed around houses of dog owners (0-200 m) where collared dogs spent the majority of their time. Inside villages, the contamination was aggregated in some micro-foci where groups of dogs defecated preferentially. Finally, small mammal densities increased from the dog core areas to grasslands at the periphery of villages occasionally used by dogs; male dogs moving significantly farther than females. This study constitutes a first attempt to quantify in a spatially explicit way the role of dogs in E. multilocularis peri-domestic cycles and to identify behavioural parameters required to model E. multilocularis transmission in this region.",Yes,English,,,location size,"EID_432, EID_433",,,NA,,Snowballing
